   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 11/06/14
 -25.58116 -25.58005 -25.59247 -25.61665 -25.65456 -25.76034 -25.87726 -25.99915
 -25.54800 -25.54800 -25.54800 -25.54800 -25.54800 -25.54800 -25.54800 -25.54800
 -25.54800 -25.54801 -25.54800 -25.54799 -25.54806 -25.54800 -25.54782 -25.54914
 -25.54907 -25.54653 -25.55792 -25.58114 -25.61547 -25.71332 -25.82311 -25.93772
 -25.52541 -25.52541 -25.52541 -25.52541 -25.52541 -25.52541 -25.52541 -25.52541
 -25.52541 -25.52541 -25.52541 -25.52539 -25.52547 -25.52541 -25.52522 -25.52664
 -25.52631 -25.52275 -25.53340 -25.55595 -25.58773 -25.67997 -25.78469 -25.89413
 -25.49357 -25.49357 -25.49357 -25.49357 -25.49357 -25.49357 -25.49357 -25.49356
 -25.49356 -25.49357 -25.49356 -25.49355 -25.49363 -25.49356 -25.49336 -25.49494
 -25.49423 -25.48922 -25.49884 -25.52044 -25.54864 -25.63295 -25.73054 -25.83270
 -25.45345 -25.45345 -25.45345 -25.45345 -25.45345 -25.45345 -25.45345 -25.45345
 -25.45344 -25.45345 -25.45345 -25.45343 -25.45352 -25.45344 -25.45321 -25.45500
 -25.45380 -25.44699 -25.45531 -25.47570 -25.49939 -25.57372 -25.66232 -25.75531
 -25.42702 -25.42702 -25.42702 -25.42702 -25.42702 -25.42702 -25.42702 -25.42702
 -25.42702 -25.42702 -25.42702 -25.42700 -25.42710 -25.42702 -25.42677 -25.42869
 -25.42718 -25.41917 -25.42663 -25.44623 -25.46695 -25.53470 -25.61738 -25.70433
 -25.39901 -25.39901 -25.39901 -25.39901 -25.39901 -25.39901 -25.39901 -25.39901
 -25.39901 -25.39901 -25.39901 -25.39899 -25.39909 -25.39900 -25.39875 -25.40080
 -25.39896 -25.38968 -25.39624 -25.41499 -25.43256 -25.49335 -25.56975 -25.65029
 -25.36717 -25.36717 -25.36717 -25.36717 -25.36717 -25.36717 -25.36717 -25.36716
 -25.36716 -25.36717 -25.36716 -25.36714 -25.36725 -25.36716 -25.36688 -25.36910
 -25.36687 -25.35616 -25.36168 -25.37948 -25.39347 -25.44633 -25.51560 -25.58886
---------------------/ IGRD= 2  / IPRT= 0  /--------/ Z1= 1   / DATE= 11/06/14
 -18.07223 -18.37263 -18.67437 -19.07224 -19.37263 -19.67437 -20.07224 -20.37263
 -20.67437 -21.07224 -21.37263 -21.67436 -22.07224 -22.37264 -22.67432 -23.07220
 -23.37262 -23.67431 -24.07236 -24.37273 -24.67385 -25.07185 -25.37242 -25.67293
 -18.07223 -18.37263 -18.67437 -19.07224 -19.37263 -19.67437 -20.07224 -20.37263
 -20.67437 -21.07223 -21.37263 -21.67439 -22.07221 -22.37262 -22.67455 -23.07245
 -23.37267 -23.67432 -24.07238 -24.37199 -24.67092 -25.06456 -25.36139 -25.65809
 -18.07223 -18.37263 -18.67437 -19.07224 -19.37263 -19.67437 -20.07224 -20.37263
 -20.67436 -21.07225 -21.37263 -21.67428 -22.07232 -22.37269 -22.67370 -23.07070
