   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 19/04/20
 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288
 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288
 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288
 -64.51356 -64.51077 -64.50966 -64.50789 -64.50276 -64.48932 -64.43959 -64.34370
 -64.16160 -63.77643 -63.41433 -63.02138 -62.47781 -62.05590 -61.62327 -61.02482
 -60.54860 -60.04794 -59.33966 -58.76798 -58.16397 -57.31966 -56.66692 -56.02841
 -50.47918 -50.46942 -50.46526 -50.46164 -50.45779 -50.45033 -50.42409 -50.37132
 -50.25937 -49.98175 -49.67880 -49.31977 -48.79687 -48.37608 -47.93887 -47.34203
 -46.87106 -46.38056 -45.70067 -45.15324 -44.57412 -43.76681 -43.13635 -42.51032
 -37.93616 -37.93087 -37.92838 -37.92659 -37.92596 -37.92604 -37.92769 -37.93138
 -37.93909 -37.95668 -37.96927 -37.96666 -37.90220 -37.77338 -37.55351 -37.12937
 -36.73093 -36.28986 -35.66564 -35.16512 -34.63732 -33.89493 -33.30771 -32.71595
 -28.35824 -28.35278 -28.34999 -28.34796 -28.34709 -28.34662 -28.34631 -28.34603
 -28.34552 -28.34439 -28.34350 -28.34232 -28.33942 -28.33592 -28.32547 -28.27818
 -28.18680 -28.00921 -27.60807 -27.20327 -26.74411 -26.08925 -25.56523 -25.02789
 -23.15363 -23.14905 -23.14660 -23.14489 -23.14425 -23.14393 -23.14378 -23.14407
 -23.14475 -23.14607 -23.14752 -23.14869 -23.14820 -23.14702 -23.14609 -23.14518
 -23.14014 -23.11500 -23.00727 -22.83822 -22.57272 -22.08000 -21.63297 -21.15205
 -18.03436 -18.03153 -18.02990 -18.02875 -18.02833 -18.02813 -18.02797 -18.02781
 -18.02749 -18.02670 -18.02620 -18.02588 -18.02563 -18.02592 -18.02577 -18.02294
 -18.02050 -18.01987 -18.02052 -18.00848 -17.95942 -17.77440 -17.51307 -17.16540
 -14.08959 -14.08941 -14.08932 -14.08929 -14.08929 -14.08931 -14.08932 -14.08930
 -14.08933 -14.08952 -14.08911 -14.08839 -14.08819 -14.08851 -14.08848 -14.08697
 -14.08613 -14.08527 -14.08108 -14.07412 -14.06010 -14.01624 -13.94701 -13.83673
 -12.34952 -12.34947 -12.34942 -12.34932 -12.34923 -12.34917 -12.34916 -12.34915
 -12.34909 -12.34886 -12.34853 -12.34818 -12.34790 -12.34758 -12.34708 -12.34625
 -12.34534 -12.34410 -12.34162 -12.33779 -12.32999 -12.30767 -12.27619 -12.22555
 -11.03875 -11.03881 -11.03881 -11.03872 -11.03866 -11.03869 -11.03879 -11.03836
 -11.03770 -11.03753 -11.03762 -11.03737 -11.03627 -11.03585 -11.03587 -11.03528
 -11.03398 -11.03211 -11.02917 -11.02608 -11.02099 -11.00821 -10.99097 -10.96183
 -10.00851 -10.00886 -10.00901 -10.00897 -10.00886 -10.00881 -10.00883 -10.00862
 -10.00824 -10.00793 -10.00771 -10.00738 -10.00684 -10.00634 -10.00572 -10.00462
 -10.00332 -10.00160  -9.99881  -9.99592  -9.99150  -9.98138  -9.96868  -9.94839
  -9.47906  -9.47960  -9.47982  -9.47970  -9.47947  -9.47931  -9.47930  -9.47912
  -9.47881  -9.47862  -9.47839  -9.47806  -9.47763  -9.47708  -9.47628  -9.47509
  -9.47410  -9.47277  -9.46995  -9.46697  -9.46287  -9.45432  -9.44377  -9.42733
  -8.93252  -8.93342  -8.93389  -8.93396  -8.93381  -8.93367  -8.93364  -8.93343
  -8.93325  -8.93356  -8.93305  -8.93215  -8.93211  -8.93152  -8.93045  -8.93029
  -8.92983  -8.92829  -8.92502  -8.92247  -8.91946  -8.91254  -8.90396  -8.89111
  -8.47047  -8.47139  -8.47190  -8.47211  -8.47208  -8.47198  -8.47189  -8.47196
  -8.47194  -8.47132  -8.47103  -8.47085  -8.47003  -8.46973  -8.46961  -8.46846
  -8.46756  -8.46680  -8.46511  -8.46277  -8.45965  -8.45468  -8.44882  -8.43987
  -8.25918  -8.25992  -8.26029  -8.26043  -8.26039  -8.26029  -8.26018  -8.26025
  -8.26023  -8.25957  -8.25947  -8.25961  -8.25892  -8.25854  -8.25838  -8.25755
  -8.25695  -8.25621  -8.25395  -8.25216  -8.25023  -8.24584  -8.24072  -8.23354
  -8.09154  -8.09208  -8.09232  -8.09238  -8.09234  -8.09230  -8.09230  -8.09236
  -8.09233  -8.09194  -8.09162  -8.09147  -8.09149  -8.09109  -8.09046  -8.09012
  -8.08986  -8.08917  -8.08746  -8.08608  -8.08444  -8.08063  -8.07633  -8.07054
  -7.95090  -7.95121  -7.95136  -7.95146  -7.95146  -7.95135  -7.95105  -7.95093
  -7.95096  -7.95097  -7.95082  -7.95058  -7.95032  -7.95008  -7.94984  -7.94958
  -7.94912  -7.94846  -7.94766  -7.94657  -7.94491  -7.94204  -7.93892  -7.93453
  -7.87230  -7.87251  -7.87260  -7.87264  -7.87264  -7.87258  -7.87243  -7.87240
  -7.87240  -7.87227  -7.87222  -7.87217  -7.87185  -7.87164  -7.87150  -7.87117
  -7.87069  -7.87007  -7.86914  -7.86824  -7.86703  -7.86479  -7.86227  -7.85869
  -7.78106  -7.78117  -7.78121  -7.78123  -7.78123  -7.78119  -7.78111  -7.78110
  -7.78110  -7.78098  -7.78088  -7.78083  -7.78078  -7.78071  -7.78052  -7.78003
  -7.77971  -7.77937  -7.77852  -7.77778  -7.77696  -7.77528  -7.77332  -7.77062
  -7.68819  -7.68824  -7.68825  -7.68827  -7.68827  -7.68825  -7.68819  -7.68819
  -7.68819  -7.68805  -7.68799  -7.68796  -7.68783  -7.68770  -7.68757  -7.68738
  -7.68711  -7.68674  -7.68620  -7.68599  -7.68568  -7.68433  -7.68293  -7.68114
  -7.63549  -7.63553  -7.63553  -7.63553  -7.63553  -7.63553  -7.63554  -7.63555
  -7.63555  -7.63549  -7.63548  -7.63549  -7.63545  -7.63539  -7.63537  -7.63538
  -7.63519  -7.63501  -7.63523  -7.63464  -7.63357  -7.63302  -7.63208  -7.63031
  -7.58534  -7.58536  -7.58537  -7.58537  -7.58537  -7.58537  -7.58536  -7.58535
  -7.58536  -7.58538  -7.58538  -7.58538  -7.58539  -7.58541  -7.58542  -7.58540
  -7.58552  -7.58547  -7.58446  -7.58375  -7.58353  -7.58360  -7.58309  -7.58162
  -7.53345  -7.53346  -7.53347  -7.53347  -7.53347  -7.53347  -7.53347  -7.53347
  -7.53347  -7.53346  -7.53346  -7.53346  -7.53346  -7.53346  -7.53346  -7.53347
  -7.53345  -7.53346  -7.53345  -7.53282  -7.53203  -7.53205  -7.53155  -7.53036
  -7.49852  -7.49853  -7.49853  -7.49853  -7.49853  -7.49853  -7.49853  -7.49853
  -7.49853  -7.49853  -7.49853  -7.49853  -7.49854  -7.49853  -7.49854  -7.49856
