   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 19/04/20
  -7.02732  -7.02732  -7.02732  -7.02734  -7.02733  -7.02727  -7.02748  -7.02686
  -7.02548  -7.03305  -7.04017  -7.03745  -7.03665  -7.03980  -7.03766  -7.03506
  -7.03576  -7.03594  -7.03509  -7.03798  -7.04699  -7.04981  -7.04212  -7.03309
  -6.99883  -6.99883  -6.99883  -6.99885  -6.99884  -6.99878  -6.99901  -6.99831
  -6.99678  -7.00521  -7.01314  -7.01010  -7.00926  -7.01282  -7.01042  -7.00761
  -7.00851  -7.00880  -7.00816  -7.01181  -7.02242  -7.02661  -7.01901  -7.00993
  -6.96863  -6.96863  -6.96863  -6.96865  -6.96864  -6.96857  -6.96882  -6.96806
  -6.96636  -6.97570  -6.98449  -6.98110  -6.98023  -6.98422  -6.98156  -6.97851
  -6.97963  -6.98003  -6.97961  -6.98407  -6.99637  -7.00202  -6.99451  -6.98538
  -6.93430  -6.93430  -6.93430  -6.93432  -6.93431  -6.93423  -6.93451  -6.93366
  -6.93178  -6.94216  -6.95192  -6.94815  -6.94723  -6.95171  -6.94874  -6.94543
  -6.94679  -6.94733  -6.94716  -6.95254  -6.96677  -6.97406  -6.96665  -6.95747
---------------------/ IPRT= 2  / IGRD= 1  /--------/ Z1= 1   / DATE= 19/04/20
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000 -72.00000
